Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-07-25 03:00:00,1106565.5336339427,1105517.3968736716,1113751.9700512243,1083365.9354305526,1102470.2479785332,1116712.1458554594,1136567.7533363851,1103309.8746541548
2019-07-25 04:00:00,1095010.6195026073,1096274.9742739203,1103395.2061898974,1070933.0171092397,1092711.48222236,1107822.629133439,1125254.3375683478,1091223.085578151
2019-07-25 05:00:00,1095907.76083585,1100509.4084937486,1104946.9331616096,1069966.196879892,1093736.511260726,1110057.3592969046,1124907.3526253225,1089888.7765788597
2019-07-25 06:00:00,1131739.747912385,1133884.4454765625,1134896.3801553682,1097674.452014556,1119899.2926246806,1139139.81846345,1155571.612878475,1119619.0213777765
2019-07-25 07:00:00,1203395.7061209711,1203402.14995301,1201658.9982573898,1163480.261590783,1178736.99634695,1199731.1495547614,1226032.9725391555,1185487.5976300654
2019-07-25 08:00:00,1297017.0074028156,1296449.1937547168,1293553.1495797955,1256266.588967598,1260487.0099151244,1278769.7407415935,1315603.0947857338,1273558.69028804
2019-07-25 09:00:00,1382091.7243016786,1384407.2030468497,1381881.1302989232,1347039.1596739076,1340422.8445478808,1351897.0555275837,1399452.8234575768,1355994.5747562547
2019-07-25 10:00:00,1433460.4965241537,1440097.3635128823,1438763.4163703276,1407102.1571412447,1393993.4544572404,1397187.6380392392,1449434.557010416,1405984.4352444229
2019-07-25 11:00:00,1458883.9703443754,1455428.515777582,1455559.9585698403,1427254.7290740064,1412876.255071115,1413588.8360638977,1466556.907598489,1426470.7114901703
2019-07-25 12:00:00,1446774.69476724,1444547.674870387,1446341.7267462648,1421670.0884808865,1408523.1758942609,1406130.2955920494,1455936.2323185496,1418710.604532377
2019-07-25 13:00:00,1435729.6515046966,1430106.4243120635,1433768.4277069173,1413358.163197917,1400474.0664153672,1398426.0113448005,1445008.8179191258,1411943.912909869
2019-07-25 14:00:00,1423939.9251430582,1424806.723800451,1430094.637381577,1414333.8138591857,1399915.4792503372,1394544.0588220002,1435270.0463427035,1407240.201221781
2019-07-25 15:00:00,1422098.8269213836,1423818.271075232,1429637.693797132,1417727.9790467436,1402524.055928048,1397797.105285595,1436271.2942605275,1411502.8218894028
2019-07-25 16:00:00,1416102.181668988,1413103.907743609,1417833.3962082993,1407478.3718268247,1395536.0879151952,1394563.701932746,1429772.4722739952,1407440.6881939515
2019-07-25 17:00:00,1383440.6343438146,1384359.8013937313,1386871.7707804332,1375147.0655794134,1371082.0081368538,1370549.1627204267,1395948.096479304,1373626.2298190733
2019-07-25 18:00:00,1345588.5440179326,1342486.8761200665,1343024.712999298,1327932.6425329002,1333161.348907305,1336918.2213298522,1356053.113135472,1332195.0545838324
2019-07-25 19:00:00,1302290.120832681,1299977.2525091274,1300019.157479522,1281552.2163363388,1292921.200628428,1300826.548112512,1317359.7802752648,1291061.6798629067
2019-07-25 20:00:00,1278676.1431559972,1265352.3902623416,1266454.132397454,1246334.517420001,1258362.1745533883,1275998.2152803715,1294774.375429751,1269993.8478102733
2019-07-25 21:00:00,1250608.9935404512,1237407.174381062,1239975.2607960252,1220311.1549731195,1229009.4615921495,1249222.573445747,1270778.2757769714,1247471.6152820906
2019-07-25 22:00:00,1218127.5384102056,1209811.400926688,1212870.3640913505,1194807.0710329525,1199836.6398756525,1218956.237450871,1241279.8096792544,1219940.285093724
2019-07-25 23:00:00,1195693.3285657002,1179742.0490781968,1181871.6060141998,1165188.7288831584,1168918.4426527878,1191236.0189414646,1215456.5532007513,1195287.1476465666
2019-07-26 00:00:00,1149155.6363566313,1150633.629147287,1148438.809259863,1139537.4504172879,1141222.139434875,1156606.3359625316,1160966.251480794,1155586.6095651654
2019-07-26 01:00:00,1135483.898016891,1128119.8324537326,1125225.4843622094,1115471.9568887232,1119415.372183186,1137734.9353273632,1143591.3288830295,1136275.5773428606
2019-07-26 02:00:00,1110903.1881318141,1112483.6159549917,1109366.6891864396,1098327.047177557,1104724.5985032122,1119092.73058053,1121759.2283870243,1113625.9906594025
2019-07-26 03:00:00,1098527.052609815,1099977.2175627,1096398.2660724283,1083694.0488476004,1093081.3328942398,1107796.2574972524,1108401.6646469708,1099973.3424688422
2019-07-26 04:00:00,1089566.4784550264,1090667.6801357258,1085845.5089225797,1070590.830162977,1083739.3210243902,1100392.4652446914,1099373.1100828187,1089170.1601802777
